"uni_cod";"a_a";"laurea_nome";"laurea_tipo";"laurea_classe_cod";"curr_nome";"materia_nome";"materia_ssd_cod";"materia_cfu";"curr_materia_anno";"curr_materia_periodo";"modulo_nome";"sub_modulo_gruppo";"sub_modulo_nome";"modulo_cfu";"modulo_periodo";"insegnamento_prof";"insegnamento_prof_www";"isbn";"autori";"curatori";"traduttori";"titolo";"editore";"edizione";"anno_pub";"tipo_copertina";"pagg";"lingua";"prezzo";"testo_obb";"testo_uso";"testo_freq";"laurea_iscritti";"laurea_matricole"
"unibocconi";2021;"ECONOMIA E MANAGEMENT PER ARTE, CULTURA E COMUNICAZIONE - ECONOMICS AND MANAGEMENT FOR ARTS, CULTURE AND COMMUNICATION - CLEACC";"L";"L-18";"NON DEFINITO";"STORIA ECONOMICA E DEL PENSIERO ECONOMICO / ECONOMIC HISTORY AND HISTORY OF ECONOMIC THOUGHT";"SECS-P/12";"7";"";"2";"";"";"CLEACC - CLASS GROUP/S TAUGHT IN ENGLISH";"";"";"Massimo Amato";"https://didattica.unibocconi.it/docenti/cv.php?rif=48662&cognome=AMATO&nome=MASSIMO";"9780199989768";"Larry Neal, Rondo Cameron";"";"";"A Concise Economic History of the World: From Paleolithic Times to the Present";"Oxford University Press OUP";"5";"2015";"Brossura";"496";"Inglese";131.46;"obb";"parz.";"non freq";722;251
"unibocconi";2021;"AMMINISTRAZIONE, FINANZA AZIENDALE E CONTROLLO - ACCOUNTING, FINANCIAL MANAGEMENT AND CONTROL - AFC";"LM";"LM-77";"NON DEFINITO";"PSYCHOLOGY, ECONOMIC ANALYSIS, AND BEHAVIORAL FINANCE";"SECS-P/01";"6";"";"1";"";"";"AFC - CLASS GROUP/S TAUGHT IN ENGLISH";"";"";"Nicola Gennaioli";"https://didattica.unibocconi.it/docenti/cv.php?rif=154156&cognome=GENNAIOLI&nome=NICOLA";"9780691202235";"Nicola Gennaioli, Andrei Shleifer";"";"";"A Crisis of Beliefs: Investor Psychology and Financial Fragility";"Princeton University Press";"1";"2020";"Brossura";"252";"Inglese";18.82;"obb";"tutto";"tutti";512;245
"unibocconi";2021;"DATA SCIENCE AND BUSINESS ANALYTICS - DSBA";"LM";"LM-82";"NON DEFINITO";"PSYCHOLOGY, ECONOMIC ANALYSIS, AND BEHAVIORAL FINANCE";"SECS-P/01";"6";"";"1";"";"";"DSBA - CLASS GROUP/S TAUGHT IN ENGLISH";"";"";"Nicola Gennaioli";"https://didattica.unibocconi.it/docenti/cv.php?rif=154156&cognome=GENNAIOLI&nome=NICOLA";"9780691202235";"Nicola Gennaioli, Andrei Shleifer";"";"";"A Crisis of Beliefs: Investor Psychology and Financial Fragility";"Princeton University Press";"1";"2020";"Brossura";"252";"Inglese";18.82;"obb";"tutto";"tutti";122;57
"unibocconi";2021;"ECONOMIA E LEGISLAZIONE PER L'IMPRESA - CLELI";"LM";"LM-77";"NON DEFINITO";"PSYCHOLOGY, ECONOMIC ANALYSIS, AND BEHAVIORAL FINANCE";"SECS-P/01";"6";"";"1";"";"";"CLELI - CLASS GROUP/S TAUGHT IN ENGLISH";"";"";"Nicola Gennaioli";"https://didattica.unibocconi.it/docenti/cv.php?rif=154156&cognome=GENNAIOLI&nome=NICOLA";"9780691202235";"Nicola Gennaioli, Andrei Shleifer";"";"";"A Crisis of Beliefs: Investor Psychology and Financial Fragility";"Princeton University Press";"1";"2020";"Brossura";"252";"Inglese";18.82;"obb";"tutto";"tutti";170;76
"unibocconi";2021;"ECONOMIC AND SOCIAL SCIENCES - DES-ESS";"LM";"LM-56";"NON DEFINITO";"PSYCHOLOGY, ECONOMIC ANALYSIS, AND BEHAVIORAL FINANCE";"SECS-P/01";"6";"";"1";"";"";"DES-ESS - CLASS GROUP/S TAUGHT IN ENGLISH";"";"";"Nicola Gennaioli";"https://didattica.unibocconi.it/docenti/cv.php?rif=154156&cognome=GENNAIOLI&nome=NICOLA";"9780691202235";"Nicola Gennaioli, Andrei Shleifer";"";"";"A Crisis of Beliefs: Investor Psychology and Financial Fragility";"Princeton University Press";"1";"2020";"Brossura";"252";"Inglese";18.82;"obb";"tutto";"tutti";331;155
"unibocconi";2021;"ECONOMICS AND MANAGEMENT IN ARTS, CULTURE, MEDIA AND ENTERTAINMENT - ACME";"LM";"LM-77";"NON DEFINITO";"PSYCHOLOGY, ECONOMIC ANALYSIS, AND BEHAVIORAL FINANCE";"SECS-P/01";"6";"";"1";"";"";"ACME - CLASS GROUP/S TAUGHT IN ENGLISH";"";"";"Nicola Gennaioli";"https://didattica.unibocconi.it/docenti/cv.php?rif=154156&cognome=GENNAIOLI&nome=NICOLA";"9780691202235";"Nicola Gennaioli, Andrei Shleifer";"";"";"A Crisis of Beliefs: Investor Psychology and Financial Fragility";"Princeton University Press";"1";"2020";"Brossura";"252";"Inglese";18.82;"obb";"tutto";"tutti";177;81
"unibocconi";2021;"ECONOMICS AND MANAGEMENT OF GOVERNMENT AND INTERNATIONAL ORGANIZATIONS - GIO";"LM";"LM-77";"NON DEFINITO";"PSYCHOLOGY, ECONOMIC ANALYSIS, AND BEHAVIORAL FINANCE";"SECS-P/01";"6";"";"1";"";"";"GIO - CLASS GROUP/S TAUGHT IN ENGLISH";"";"";"Nicola Gennaioli";"https://didattica.unibocconi.it/docenti/cv.php?rif=154156&cognome=GENNAIOLI&nome=NICOLA";"9780691202235";"Nicola Gennaioli, Andrei Shleifer";"";"";"A Crisis of Beliefs: Investor Psychology and Financial Fragility";"Princeton University Press";"1";"2020";"Brossura";"252";"Inglese";18.82;"obb";"tutto";"tutti";177;79
"unibocconi";2021;"ECONOMICS AND MANAGEMENT OF INNOVATION AND TECHNOLOGY - EMIT";"LM";"LM-56";"NON DEFINITO";"PSYCHOLOGY, ECONOMIC ANALYSIS, AND BEHAVIORAL FINANCE";"SECS-P/01";"6";"";"1";"";"";"EMIT - CLASS GROUP/S TAUGHT IN ENGLISH";"";"";"Nicola Gennaioli";"https://didattica.unibocconi.it/docenti/cv.php?rif=154156&cognome=GENNAIOLI&nome=NICOLA";"9780691202235";"Nicola Gennaioli, Andrei Shleifer";"";"";"A Crisis of Beliefs: Investor Psychology and Financial Fragility";"Princeton University Press";"1";"2020";"Brossura";"252";"Inglese";18.82;"obb";"tutto";"tutti";188;85
"unibocconi";2021;"FINANZA - FINANCE - FIN";"LM";"LM-16";"NON DEFINITO";"PSYCHOLOGY, ECONOMIC ANALYSIS, AND BEHAVIORAL FINANCE";"SECS-P/01";"6";"";"1";"";"";"FIN - CLASS GROUP/S TAUGHT IN ENGLISH";"";"";"Nicola Gennaioli";"https://didattica.unibocconi.it/docenti/cv.php?rif=154156&cognome=GENNAIOLI&nome=NICOLA";"9780691202235";"Nicola Gennaioli, Andrei Shleifer";"";"";"A Crisis of Beliefs: Investor Psychology and Financial Fragility";"Princeton University Press";"1";"2020";"Brossura";"252";"Inglese";18.82;"obb";"tutto";"tutti";556;256
"unibocconi";2021;"GIURISPRUDENZA - CLMG";"LMCU";"LMG/01";"NON DEFINITO";"PSYCHOLOGY, ECONOMIC ANALYSIS, AND BEHAVIORAL FINANCE";"SECS-P/01";"6";"";"1";"";"";"CLMG - CLASS GROUP/S TAUGHT IN ENGLISH";"";"";"Nicola Gennaioli";"https://didattica.unibocconi.it/docenti/cv.php?rif=154156&cognome=GENNAIOLI&nome=NICOLA";"9780691202235";"Nicola Gennaioli, Andrei Shleifer";"";"";"A Crisis of Beliefs: Investor Psychology and Financial Fragility";"Princeton University Press";"1";"2020";"Brossura";"252";"Inglese";18.82;"obb";"tutto";"tutti";1427;299
