"uni_cod";"a_a";"laurea_nome";"laurea_tipo";"laurea_classe_cod";"curr_nome";"materia_nome";"materia_ssd_cod";"materia_cfu";"curr_materia_anno";"curr_materia_periodo";"modulo_nome";"sub_modulo_gruppo";"sub_modulo_nome";"modulo_cfu";"modulo_periodo";"insegnamento_prof";"insegnamento_prof_www";"isbn";"autori";"curatori";"traduttori";"titolo";"editore";"edizione";"anno_pub";"tipo_copertina";"pagg";"lingua";"prezzo";"testo_obb";"testo_uso";"testo_freq";"laurea_iscritti";"laurea_matricole"
"unich";2021;"DESIGN";"L";"L-4";"CORSO GENERICO";"LABORATORIO C - DESIGN DELLA COMUNICAZIONE";"ICAR/13; INF/01; M-FIL/05";"20";"3";"2";"MEDIA & EXPERIENCE DESIGN";"";"";"8";"2";"Massacesi Raffaella";"https://www.unich.it/ugov/person/1920";"9788891752925";"Simone Giomi, Jacopo Pasquini, Maria Cristina Caratozzolo";"";"";"# UX Designer. Progettare l'esperienza digitale tra marketing, brand experience e design";"Franco Angeli";"";"2018";"Brossura";"152";"Italiano";19.00;"cons";"tutto";"tutti";356;75
"unich";2021;"PSICOLOGIA";"LM";"LM-51";"PSICOLOGIA SOCIALE, DEL LAVORO E DELLE ORGANIZZAZIONI";"STRUMENTI E METODI DI VALUTAZIONE NEI CONTESTI SOCIALI E ORGANIZZATIVI";"M-PSI/06";"8";"2";"1";"";"";"";"";"";"Barattucci Massimiliano";"";"9788891788542";"Anna Martini, Silvia Zanella";"";"";"#DigitalRecruiter. Social network, AI, gamification e strumenti tech per i professionisti HR";"Franco Angeli";"";"2019";"Brossura";"238";"Italiano";25.00;"in alt";"tutto";"tutti";333;125
"unich";2021;"BENI ARCHEOLOGICI E STORICO-ARTISTICI";"LM";"LM-2";"CORSO GENERICO";"STORIA DELL'EUROPA CONTEMPORANEA";"M-STO/04";"6";"2";"1";"";"";"";"";"";"Pizzo Paola";"https://www.unich.it/ugov/person/3131";"9788806225728";"Giacomo Debenedetti";"";"";"16 ottobre 1943. Prefazione di Natalia Ginzburg";"Einaudi";"";"2015";"Brossura";"90";"Italiano";9.50;"fac";"tutto";"tutti";41;13
"unich";2021;"FILOLOGIA, LINGUISTICA E TRADIZIONI LETTERARIE";"LM";"LM-14";"CORSO GENERICO";"STORIA DELL'EUROPA CONTEMPORANEA";"M-STO/04";"6";"1";"1";"";"";"";"";"";"Pizzo Paola";"https://www.unich.it/ugov/person/3131";"9788806225728";"Giacomo Debenedetti";"";"";"16 ottobre 1943. Prefazione di Natalia Ginzburg";"Einaudi";"";"2015";"Brossura";"90";"Italiano";9.50;"fac";"tutto";"tutti";231;78
"unich";2021;"DESIGN";"L";"L-4";"CORSO GENERICO";"INTERIOR DESIGN 2";"ICAR/14";"8";"2";"1";"";"";"GRUPPO B";"";"";"Rosato Lucio";"";"9788804738510";"Enzo Mari";"Barbara Casavecchia";"";"25 modi per piantare un chiodo. Sessant'anni di idee e progetti per difendere un sogno";"Mondadori";"";"2021";"Brossura";"192";"Italiano";15.00;"obb";"tutto";"tutti";356;75
"unich";2021;"SCIENZE E TECNOLOGIE GEOLOGICHE DELLA TERRA E DEI PIANETI";"LM";"LM-74";"GEOLOGIA STRUTTURALE E GEOFISICA PER IL RISCHIO SISMICO E VULCANICO";"TETTONICA";"GEO/03";"6";"1";"1";"";"";"";"";"";"Lavecchia Giuseppina";"https://www.unich.it/ugov/person/614";"9783662495902";"Richard H. Groshong";"";"";"3-D Structural Geology: A Practical Guide to Quantitative Surface and Subsurface Map Interpretation";"Springer";"";"2017";"Brossura";"420";"Inglese";72.75;"obb";"tutto";"tutti";67;29
"unich";2021;"FILOSOFIA E SCIENZE DELL'EDUCAZIONE";"L";"L-19";"CORSO GENERICO";"FILOSOFIA TEORETICA";"M-FIL/01";"9";"1";"1";"";"";"";"";"";"Ardovino Adriano";"https://www.unich.it/ugov/person/5827";"9781349341122";"";"M. Boswell, S. Burn";"";"A Companion to David Foster Wallace Studies";"Palgrave MacMillan Springer";"";"2013";"Brossura";"250";"Inglese";99.96;"fac";"tutto";"tutti";395;129
"unich";2021;"LINGUE E LETTERATURE STRANIERE";"L";"L-11";"CORSO GENERICO";"FILOSOFIA DEL LINGUAGGIO I";"M-FIL/05";"9";"2";"1";"";"";"";"";"";"Ardovino Adriano";"https://www.unich.it/ugov/person/5827";"9781349341122";"";"M. Boswell, S. Burn";"";"A Companion to David Foster Wallace Studies";"Palgrave MacMillan Springer";"";"2013";"Brossura";"250";"Inglese";99.96;"fac";"tutto";"tutti";537;125
"unich";2021;"LINGUE E LETTERATURE STRANIERE";"L";"L-11";"CORSO GENERICO";"LETTERATURA ANGLOAMERICANA II";"L-LIN/11";"6";"3";"1";"";"";"";"";"";"Martinez Carlo";"https://www.unich.it/ugov/person/629";"9781119685647";"Alfred Bendixen, James Nagel";"";"";"A Companion to the American Short Story";"Wiley";"";"2020";"Brossura";"536";"Inglese";46.61;"obb";"tutto";"tutti";537;125
"unich";2021;"LINGUE E LETTERATURE STRANIERE";"L";"L-11";"CORSO GENERICO";"LETTERATURE ANGLO-AMERICANE I";"L-LIN/11";"6";"3";"1";"";"";"";"";"";"Martinez Carlo";"https://www.unich.it/ugov/person/629";"9781119685647";"Alfred Bendixen, James Nagel";"";"";"A Companion to the American Short Story";"Wiley";"";"2020";"Brossura";"536";"Inglese";46.61;"obb";"tutto";"tutti";537;125
