"uni_cod";"a_a";"laurea_nome";"laurea_tipo";"laurea_classe_cod";"curr_nome";"materia_nome";"materia_ssd_cod";"materia_cfu";"curr_materia_anno";"curr_materia_periodo";"modulo_nome";"sub_modulo_gruppo";"sub_modulo_nome";"modulo_cfu";"modulo_periodo";"insegnamento_prof";"insegnamento_prof_www";"isbn";"autori";"curatori";"traduttori";"titolo";"editore";"edizione";"anno_pub";"tipo_copertina";"pagg";"lingua";"prezzo";"testo_obb";"testo_uso";"testo_freq";"laurea_iscritti";"laurea_matricole"
"unife";2021;"DESIGN DEL PRODOTTO INDUSTRIALE";"L";"L-4";"PERCORSO COMUNE";"LABORATORIO DI PRODUCT DESIGN";"ICAR/13; ICAR/14; M-PSI/01";"16";"2";"2";"";"";"LABORATORIO DI PRODUCT DESIGN - A";"";"2";"Giuseppe Mincolelli (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=1064";"9781118083468";"Vijay Kumar";"";"";"101 Design Methods: A Structured Approach for Driving Innovation in Your Organization";"Wiley";"";"2012";"Brossura";"326";"Inglese";34.41;"obb";"tutto";"tutti";290;97
"unife";2021;"DESIGN DEL PRODOTTO INDUSTRIALE";"L";"L-4";"PERCORSO COMUNE";"LABORATORIO DI PRODUCT DESIGN";"ICAR/13; ICAR/14; M-PSI/01";"16";"2";"2";"";"";"LABORATORIO DI PRODUCT DESIGN - B";"";"2";"Gian Andrea Giacobone (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=519508";"9781118083468";"Vijay Kumar";"";"";"101 Design Methods: A Structured Approach for Driving Innovation in Your Organization";"Wiley";"";"2012";"Brossura";"326";"Inglese";34.41;"obb";"tutto";"tutti";290;97
"unife";2021;"INNOVATION DESIGN";"LM";"LM-12";"COMUNE";"FINAL SYNTHESIS LAB 2 - MOBILITY INNOVATION";"ICAR/13; ING-IND/15; ING-INF/07; SECS-P/08";"12";"";"2";"";"";"";"";"";"Gian Andrea Giacobone (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=519508";"9781118083468";"Vijay Kumar";"";"";"101 Design Methods: A Structured Approach for Driving Innovation in Your Organization";"Wiley";"";"2012";"Brossura";"326";"Inglese";34.41;"obb";"tutto";"tutti";0;0
"unife";2021;"LINGUE E LETTERATURE STRANIERE";"LM";"LM-37";"PERCORSO COMUNE";"LETTERATURA FRANCESE";"L-LIN/03";"6";"1";"2";"";"";"";"";"";"Isabella Liberta' Mattazzi (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=516897";"9782707322579";"Jean Echenoz";"";"";"14";"Les Editions de Minuit";"";"2012";"Brossura";"123";"Francese";13.50;"obb";"tutto";"tutti";193;76
"unife";2021;"QUATERNARIO, PREISTORIA E ARCHEOLOGIA";"LM";"LM-2";"PERCORSO COMUNE";"METODOLOGIE:TECNOLOGIA DELLE FORME VASCOLARI";"L-ANT/10";"6";"1";"2";"";"";"";"";"";"Valentina Cannavo' (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=518230";"9788860450555";"";"Alessandro Guidi";"";"150 anni di Preistoria e Protostoria in Italia. Con DVD";"Firenze. Istituto italiano di Preistoria e Protostoria";"";"2014";"Cartonato";"607";"Italiano";75.00;"obb";"tutto";"tutti";141;34
"unife";2021;"ARCHITETTURA";"LMCU";"LM-4CU";"PERCORSO COMUNE";"LABORATORIO DI SINTESI FINALE D";"ICAR/20; ICAR/21; SPS/10";"24";"5";"A";"";"";"";"";"";"Romeo Farinella (Tit.) (ed altri)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=625";"9788860308665";"Edgar Morin";"Mauro Ceruti";"";"7 lezioni sul pensiero globale";"Raffaello Cortina Editore";"";"2016";"Brossura";"XII-114";"Italiano";11.00;"obb";"tutto";"tutti";689;133
"unife";2021;"LINGUE E LETTERATURE STRANIERE";"LM";"LM-37";"DIDATTICA DELLE LINGUE E DELLE LETTERATURE";"DIDATTICA DELLA LINGUA INGLESE";"L-LIN/12";"6";"1";"2";"";"";"";"";"";"Richard Chapman (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=804";"9781107684676";"Penny Ur";"";"";"A Course in English Language Teaching. A completely revised and updated edition of A Course in English Language Teaching";"Cambridge University Press";"2";"2010";"Brossura";"336";"Inglese";52.60;"obb";"tutto";"tutti";193;76
"unife";2021;"LINGUE E LETTERATURE MODERNE";"L";"L-11";"PERCORSO COMUNE";"LETTERATURA TEDESCA II";"L-LIN/13";"6";"2";"2";"";"";"";"";"";"Matteo Galli (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=1837";"9781571133267";"Stephen Brockmann";"";"";"A Critical History of German Film";"Camden House";"2";"2020";"Brossura";"690";"Inglese";45.59;"obb";"parz.";"tutti";862;250
"unife";2021;"LINGUE E LETTERATURE STRANIERE";"LM";"LM-37";"PERCORSO COMUNE";"LETTERATURA TEDESCA";"L-LIN/13";"6";"1";"2";"";"";"";"";"";"Matteo Galli (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=1837";"9781571133267";"Stephen Brockmann";"";"";"A Critical History of German Film";"Camden House";"2";"2020";"Brossura";"690";"Inglese";45.59;"obb";"parz.";"tutti";193;76
"unife";2021;"LINGUE E LETTERATURE STRANIERE";"LM";"LM-37";"PERCORSO COMUNE";"LETTERATURA TEDESCA II";"L-LIN/13";"6";"2";"2";"";"";"";"";"";"Matteo Galli (Tit.)";"https://studiare.unife.it/Guide/Guide/PaginaDocente.do?docente_id=1837";"9781571133267";"Stephen Brockmann";"";"";"A Critical History of German Film";"Camden House";"2";"2020";"Brossura";"690";"Inglese";45.59;"obb";"parz.";"tutti";193;76
