"uni_cod";"a_a";"laurea_nome";"laurea_tipo";"laurea_classe_cod";"curr_nome";"materia_nome";"materia_ssd_cod";"materia_cfu";"curr_materia_anno";"curr_materia_periodo";"modulo_nome";"sub_modulo_gruppo";"sub_modulo_nome";"modulo_cfu";"modulo_periodo";"insegnamento_prof";"insegnamento_prof_www";"isbn";"autori";"curatori";"traduttori";"titolo";"editore";"edizione";"anno_pub";"tipo_copertina";"pagg";"lingua";"prezzo";"testo_obb";"testo_uso";"testo_freq";"laurea_iscritti";"laurea_matricole"
"unisi";2021;"LINGUE PER LA COMUNICAZIONE INTERCULTURALE E D'IMPRESA";"L";"L-11";"LINGUE PER L'IMPRESA";"CORSO INTEGRATO DI GEOGRAFIA E STORIA CONTEMPORANEA";"M-GGR/01; M-STO/04";"12";"1";"1";"STORIA CONTEMPORANEA";"";"";"6";"1";"Gabrielli Patrizia";"https://www.unisi.it/ugov/person/10105";"9788815278005";"Marcello Flores, Giovanni Gozzini";"";"";"1968. Un anno spartiacque";"Il Mulino";"";"2018";"Brossura";"279";"Italiano";22.00;"fac";"tutto";"tutti";602;144
"unisi";2021;"LINGUE PER LA COMUNICAZIONE INTERCULTURALE E D'IMPRESA";"L";"L-11";"LINGUE PER LA COMUNICAZIONE INTERCULTURALE";"CORSO INTEGRATO DI GEOGRAFIA E STORIA CONTEMPORANEA";"M-GGR/01; M-STO/04";"12";"1";"1";"STORIA CONTEMPORANEA";"";"";"6";"1";"Gabrielli Patrizia";"https://www.unisi.it/ugov/person/10105";"9788815278005";"Marcello Flores, Giovanni Gozzini";"";"";"1968. Un anno spartiacque";"Il Mulino";"";"2018";"Brossura";"279";"Italiano";22.00;"fac";"tutto";"tutti";602;144
"unisi";2021;"LETTERE CLASSICHE";"LM";"LM-15";"PERCORSO COMUNE";"CRITICA DEL TESTO/LS";"L-FIL-LET/05";"6";"1";"2";"";"";"";"";"";"Mattiacci Silvia";"https://www.unisi.it/ugov/person/9980";"9781118841723";"";"Christer Henriksen";"";"A Companion to Ancient Epigram";"Wiley Blackwell";"1";"2019";"Cartonato";"704";"Inglese";201.69;"obb";"parz.";"tutti";59;21
"unisi";2021;"STUDI LETTERARI E FILOSOFICI";"L";"L-10";"LETTERE CLASSICHE";"CORSO INTEGRATO DI LINGUA E LETTERATURA LATINA I";"L-FIL-LET/04";"12";"1";"2";"MODULO LINGUA E LETTERATURA LATINA I A";"";"";"6";"2";"Mattiacci Silvia";"https://www.unisi.it/ugov/person/9980";"9781118841723";"";"Christer Henriksen";"";"A Companion to Ancient Epigram";"Wiley Blackwell";"1";"2019";"Cartonato";"704";"Inglese";201.69;"fac";"parz.";"tutti";402;125
"unisi";2021;"ECONOMIA PER L'AMBIENTE E LA SOSTENIBILITA'";"LM";"LM-56";"PERCORSO COMUNE";"ECONOMIA COMPORTAMENTALE E SPERIMENTALE";"SECS-P/01";"6";"1";"2";"";"";"";"";"";"Pin Paolo";"https://www.unisi.it/ugov/person/1284";"9781137512925";"Erik Angner";"";"";"A Course in Behavioral Economics";"Red Globe Press";"2";"2016";"Brossura";"318";"Inglese";0.00;"obb";"tutto";"tutti";103;46
"unisi";2021;"FINANCE - FINANZA";"LM";"LM-16";"PERCORSO COMUNE";"GAME THEORY AND SOCIAL CHOICE";"SECS-P/01";"6";"2";"1";"";"";"";"";"";"Vannucci Stefano";"https://www.unisi.it/ugov/person/8142";"9780262650403";"Martin J. Osborne, Ariel Rubinstein";"";"";"A Course in Game Theory";"The MIT Press";"";"1994";"Brossura";"368";"Inglese";62.07;"obb";"tutto";"tutti";110;32
"unisi";2021;"ARTIFICIAL INTELLIGENCE AND AUTOMATION ENGINEERING";"LM";"LM-32";"ROBOTICS AND AUTOMATION";"MATHEMATICAL METHODS FOR ENGINEERING";"MAT/05";"6";"1";"2";"";"";"";"";"";"Albani Matteo";"https://www.unisi.it/ugov/person/5030";"9781944325046";"Matthias Beck, Gerald Marchesi, Dennis Pixton, Lucas Sabalka";"";"";"A First Course in Complex Analysis. 1.53";"Orthogonal Publishing";"";"2017";"Brossura";"216";"Inglese";15.27;"obb";"tutto";"tutti";29;20
"unisi";2021;"FISICA E TECNOLOGIE AVANZATE";"L";"L-30";"PERCORSO COMUNE";"METODI MATEMATICI DELLA FISICA";"FIS/02";"6";"2";"2";"";"";"";"";"";"Franzosi Roberto";"https://www.unisi.it/ugov/person/21652";"9780486686400";"Hans F. Weinberger";"";"";"A First Course in Partial Differential Equations: With Complex Variables and Transform Methods";"Dover Publications";"";"1995";"Brossura";"446";"Inglese";25.25;"obb";"tutto";"tutti";44;8
"unisi";2021;"MATEMATICA";"L";"L-35";"PERCORSO COMUNE";"FISICA MATEMATICA";"MAT/07";"6";"2";"2";"";"";"";"";"";"Chiappinelli Raffaele";"https://www.unisi.it/ugov/person/9786";"9780486686400";"Hans F. Weinberger";"";"";"A First Course in Partial Differential Equations: With Complex Variables and Transform Methods";"Dover Publications";"";"1995";"Brossura";"446";"Inglese";25.25;"obb";"parz.";"tutti";100;21
"unisi";2021;"FINANCE - FINANZA";"LM";"LM-16";"PERCORSO COMUNE";"ADVANCED FINANCIAL MODELING";"SECS-S/06";"6";"2";"2";"";"";"";"";"";"Mannolini Antonio";"";"9781108419574";"Thomas Mazzoni";"";"";"A First Course in Quantitative Finance";"Cambridge University Press";"";"2018";"Cartonato";"570";"Inglese";99.74;"fac";"tutto";"tutti";110;32
"unisi";2021;"FINANCE - FINANZA";"LM";"LM-16";"PERCORSO COMUNE";"FINANCIAL MODELING I";"SECS-S/06";"9";"1";"A";"";"";"";"";"";"Quaranta Giovanni (ed altri)";"https://www.unisi.it/ugov/person/6284";"9781108419574";"Thomas Mazzoni";"";"";"A First Course in Quantitative Finance";"Cambridge University Press";"";"2018";"Cartonato";"570";"Inglese";99.74;"obb";"tutto";"tutti";110;32
"unisi";2021;"PUBLIC AND CULTURAL DIPLOMACY - DIPLOMAZIA PUBBLICA E CULTURALE";"LM";"LM-81";"CULTURAL DIPLOMACY";"CULTURAL HERITAGE AND ARCHAELOGY";"L-ANT/09";"6";"2";"1";"";"";"";"";"";"Campana Stefano";"https://www.unisi.it/ugov/person/5427";"9780197503188";"Lynn Meskell";"";"";"A Future in Ruins: UNESCO, World Heritage, and the Dream of Peace";"Oxford University Press OUP";"";"2020";"Brossura";"400";"Inglese";22.70;"obb";"tutto";"tutti";94;35
"unisi";2021;"ARTIFICIAL INTELLIGENCE AND AUTOMATION ENGINEERING";"LM";"LM-32";"INTELLIGENT SYSTEMS";"ADVANCED DIGITAL IMAGE PROCESSING";"ING-INF/03";"9";"1";"1";"";"";"";"";"";"Mecocci Alessandro";"https://www.unisi.it/ugov/person/10332";"9781681732787";"Salman Khan, Hossein Rahmani, Syed Afaq Ali Shah";"";"";"A Guide to Convolutional Neural Networks for Computer Vision";"Morgan & Claypool Publishers";"";"2018";"Cartonato";"207";"Inglese";106.05;"fac";"tutto";"tutti";29;20
"unisi";2021;"ECONOMICS";"LM";"LM-56";"PERCORSO COMUNE";"ECONOMETRICS I & II";"SECS-P/05";"12";"1";"A";"ECONOMETRICS I";"";"";"6";"1";"Crudu Federico";"https://www.unisi.it/ugov/person/112088";"9781119401155";"Marno Verbeek";"";"";"A Guide to Modern Econometrics";"Wiley";"5";"2017";"Brossura";"520";"Inglese";151.50;"obb";"tutto";"tutti";34;14
"unisi";2021;"LETTERE CLASSICHE";"LM";"LM-15";"PERCORSO COMUNE";"ANTROPOLOGIA STORICA DEL MONDO ANTICO";"L-FIL-LET/05";"6";"2";"2";"";"";"";"";"";"Viglietti Cristiano";"https://www.unisi.it/ugov/person/7010";"9781843761754";"";"James G. Carrier";"";"A Handbook of Economic Anthropology";"Edward Elgar";"";"2005";"Cartonato";"584";"Inglese";0.00;"obb";"parz.";"tutti";59;21
"unisi";2021;"STUDI LETTERARI E FILOSOFICI";"L";"L-10";"LETTERE CLASSICHE";"LINGUA E LETTERATURA GRECA II - ETÀ  ELLENISTICA ED IMPERIALE";"L-FIL-LET/02";"12";"2";"2";"";"";"";"";"";"Braccini Tommaso";"https://www.unisi.it/ugov/person/5493";"9781108459563";"";"Neil Hopkinson";"";"A Hellenistic Anthology";"Cambridge University Press";"2";"2020";"Brossura";"360";"Inglese";29.13;"fac";"tutto";"freq";402;125
"unisi";2021;"ECONOMICS";"LM";"LM-56";"PERCORSO COMUNE";"ECONOMIC HISTORY (ADVANCED)";"SECS-P/12";"6";"2";"2";"";"";"";"";"";"Vasta Michelangelo (ed altri)";"https://www.unisi.it/ugov/person/9379";"9781107507180";"";"Joerg Baten";"";"A History of the Global Economy: 1500 to the Present";"Cambridge University Press";"";"2016";"Brossura";"384";"Inglese";33.98;"obb";"tutto";"tutti";34;14
"unisi";2021;"MATEMATICA";"L";"L-35";"PERCORSO COMUNE";"LOGICA MATEMATICA";"MAT/01";"9";"3";"2";"";"";"";"";"";"Sorbi Andrea";"https://www.unisi.it/ugov/person/7987";"9780122384523";"Herbert B. Enderton";"";"";"A Mathematical Introduction to Logic";"Academic Press Elsevier";"2";"2010";"Cartonato";"317";"Inglese";83.99;"obb";"tutto";"tutti";100;21
"unisi";2021;"LETTERE MODERNE";"LM";"LM-14";"FILOLOGICO, LINGUISTICO E LETTERARIO";"LETTERATURA INGLESE A";"L-LIN/10";"9";"2";"2";"";"";"";"";"";"Spandri Elena Anna";"https://www.unisi.it/ugov/person/4522";"9780141441160";"Edward M. Forster";"Pankaj Mishra";"";"A Passage to India";"Penguin";"";"2005";"Brossura";"416";"Inglese";14.03;"obb";"tutto";"tutti";164;63
"unisi";2021;"LETTERE MODERNE";"LM";"LM-14";"LETTERATURE STRANIERE";"LETTERATURA INGLESE A";"L-LIN/10";"9";"2";"2";"";"";"";"";"";"Spandri Elena Anna";"https://www.unisi.it/ugov/person/4522";"9780141441160";"Edward M. Forster";"Pankaj Mishra";"";"A Passage to India";"Penguin";"";"2005";"Brossura";"416";"Inglese";14.03;"obb";"tutto";"tutti";164;63
