"uni_cod";"a_a";"laurea_nome";"laurea_tipo";"laurea_classe_cod";"curr_nome";"materia_nome";"materia_ssd_cod";"materia_cfu";"curr_materia_anno";"curr_materia_periodo";"modulo_nome";"sub_modulo_gruppo";"sub_modulo_nome";"modulo_cfu";"modulo_periodo";"insegnamento_prof";"insegnamento_prof_www";"isbn";"autori";"curatori";"traduttori";"titolo";"editore";"edizione";"anno_pub";"tipo_copertina";"pagg";"lingua";"prezzo";"testo_obb";"testo_uso";"testo_freq";"laurea_iscritti";"laurea_matricole"
"uniurb";2021;"COMUNICAZIONE E PUBBLICITÀ PER LE ORGANIZZAZIONI";"LM";"LM-59";"PERCORSO COMUNE";"COMUNICAZIONE PUBBLICITARIA E LINGUAGGI DIGITALI";"SPS/08";"9";"1";"1";"";"";"";"";"";"Giovanni Boccia Artieri";"";"9788820399887";"Alice Avallone";"";"";"#Datastories. Seguire le impronte umane sul digitale";"Hoepli";"";"2021";"Brossura";"144";"Italiano";14.90;"obb";"tutto";"tutti";229;87
"uniurb";2021;"SCIENZE POLITICHE, ECONOMICHE E DEL GOVERNO";"L";"L-36";"PERCORSO COMUNE";"ANALISI DELL'OPINIONE PUBBLICA";"SPS/04";"9";"3";"1";"";"";"";"";"";"Luigino Ceccarini";"";"9788815273772";"Cass R. Sunstein";"";"";"#republic. La democrazia nell'epoca dei social media";"Il Mulino";"";"2017";"Brossura";"337";"Italiano";22.00;"fac";"tutto";"tutti";243;79
"uniurb";2021;"ECONOMIA E MANAGEMENT";"LM";"LM-77";"ECONOMIA E MANAGEMENT";"ECONOMIA DELL'INNOVAZIONE";"SECS-P/02";"6";"2";"2";"";"";"";"";"";"Giovanni Marin";"";"9788815275301";"Patrizio Bianchi";"";"";"4.0. La nuova rivoluzione industriale";"Il Mulino";"";"2018";"Brossura";"119";"Italiano";11.00;"obb";"parz.";"tutti";124;43
"uniurb";2021;"MARKETING E COMUNICAZIONE PER LE AZIENDE";"LM";"LM-77";"PERCORSO COMUNE";"ECONOMIA DELL'INNOVAZIONE";"SECS-P/02";"8";"2";"2";"";"";"";"";"";"Giovanni Marin";"";"9788815275301";"Patrizio Bianchi";"";"";"4.0. La nuova rivoluzione industriale";"Il Mulino";"";"2018";"Brossura";"119";"Italiano";11.00;"obb";"parz.";"tutti";205;73
"uniurb";2021;"POLITICA SOCIETÀ ECONOMIA INTERNAZIONALI";"LM";"LM-62";"POLITICA ED ECONOMIA GLOBALI";"ECONOMIA DELL'INNOVAZIONE";"SECS-P/02";"8";"1";"2";"";"";"";"";"";"Giovanni Marin";"";"9788815275301";"Patrizio Bianchi";"";"";"4.0. La nuova rivoluzione industriale";"Il Mulino";"";"2018";"Brossura";"119";"Italiano";11.00;"obb";"parz.";"tutti";69;23
"uniurb";2021;"FILOSOFIA DELL'INFORMAZIONE. TEORIA E GESTIONE DELLA CONOSCENZA";"LM";"LM-78";"PERCORSO COMUNE";"FILOSOFIA DELLA MENTE";"M-FIL/02";"6";"1";"2";"";"";"";"";"";"Vincenzo Fano";"";"9788838787997";"John MacCormick";"";"";"9 algoritmi che hanno cambiato il futuro";"Apogeo";"";"2013";"Brossura";"256";"Italiano";18.00;"obb";"tutto";"non freq";77;42
"uniurb";2021;"FILOSOFIA DELL'INFORMAZIONE. TEORIA E GESTIONE DELLA CONOSCENZA";"LM";"LM-78";"PERCORSO COMUNE";"STORIA DEL PENSIERO SCIENTIFICO";"M-STO/05";"6";"1";"2";"";"";"";"";"";"Isabella Tassani";"";"9780300197136";"William Bynum, W. F. Bynum";"";"";"A Little History of Science";"Yale University Press";"";"2013";"";"272";"Inglese";14.92;"obb";"parz.";"tutti";77;42
"uniurb";2021;"LINGUE MODERNE E INTERCULTURALITÀ";"LM";"LM-37";"DIDATTICA E RICERCA";"LETTERATURA INGLESE";"L-LIN/10";"8";"1";"1";"";"";"";"";"";"Jan Marten Ivo Klaver";"";"9780226430577";"Kate L. Turabian";"Wayne C. Booth, Gregory G. Colomb, Joseph M. Williams, [...]";"";"A Manual for Writers of Research Papers, Theses, and Dissertations: Chicago Style for Students and Researchers";"University of Chicago Press";"9";"2018";"Brossura";"462";"Inglese";18.35;"obb";"tutto";"tutti";257;130
"uniurb";2021;"LINGUE MODERNE E INTERCULTURALITÀ";"LM";"LM-37";"DIDATTICA E RICERCA";"STORIA DEI GENERI";"M-STO/02";"8";"1";"1";"";"";"";"";"";"Raffaella Sarti";"";"9788883341113";"";"A. Rossi Doria";"";"A che punto è la storia delle donne in Italia";"Viella";"";"2003";"Brossura";"187";"Italiano";15.00;"in alt";"tutto";"freq";257;130
"uniurb";2021;"LINGUE MODERNE E INTERCULTURALITÀ";"LM";"LM-37";"DIDATTICA E RICERCA";"FILOLOGIA E LETTERATURA DEL MEDIOEVO ROMANZO";"L-FIL-LET/09";"8";"1";"2";"";"";"";"";"";"Antonella Negri";"";"9788815138224";"Pietro G. Beltrami";"";"";"A che serve un'edizione critica? Leggere i testi della letteratura romanza medievale";"Il Mulino";"";"2010";"Brossura";"231";"Italiano";18.50;"obb";"tutto";"tutti";257;130
