"uni_cod";"a_a";"laurea_nome";"laurea_tipo";"laurea_classe_cod";"curr_nome";"materia_nome";"materia_ssd_cod";"materia_cfu";"curr_materia_anno";"curr_materia_periodo";"modulo_nome";"sub_modulo_gruppo";"sub_modulo_nome";"modulo_cfu";"modulo_periodo";"insegnamento_prof";"insegnamento_prof_www";"isbn";"autori";"curatori";"traduttori";"titolo";"editore";"edizione";"anno_pub";"tipo_copertina";"pagg";"lingua";"prezzo";"testo_obb";"testo_uso";"testo_freq";"laurea_iscritti";"laurea_matricole"
"unipi";2020;"LINGUE, LETTERATURE E FILOLOGIE EURO - AMERICANE";"LM";"LM-37";"CRITICO-LETTERARIO";"FILOLOGIA SLAVA";"L-LIN/21";"9";"1";"2";"";"";"";"";"";"Giuseppe Dell'Agata";"http://unimap.unipi.it/cercapersone/dettaglio.php?ri=3869";"9788866330448";"";"Iliana Krapova, Francesca Fornari, Alessandro Scarsella";"";"1989-2009 La caduta del muro: venti anni dopo Atti del Convegno Internazionale di Studi. Venezia 17-18 dicembre 2009";"ArchetipoLibri CLUEB";"";"2011";"Brossura";"154";"Italiano";19.00;"obb";"parz.";"tutti";128;66
"unipi";2020;"LINGUE, LETTERATURE E FILOLOGIE EURO - AMERICANE";"LM";"LM-37";"TEORICO-COMPARATISTICO";"FILOLOGIA SLAVA";"L-LIN/21";"9";"1";"2";"";"";"";"";"";"Giuseppe Dell'Agata";"http://unimap.unipi.it/cercapersone/dettaglio.php?ri=3869";"9788866330448";"";"Iliana Krapova, Francesca Fornari, Alessandro Scarsella";"";"1989-2009 La caduta del muro: venti anni dopo Atti del Convegno Internazionale di Studi. Venezia 17-18 dicembre 2009";"ArchetipoLibri CLUEB";"";"2011";"Brossura";"154";"Italiano";19.00;"obb";"parz.";"tutti";128;66
"unipi";2020;"LINGUISTICA E TRADUZIONE";"LM";"LM-39";"LINGUISTICO";"FILOLOGIA SLAVA (MUTUATO)";"L-LIN/21";"6";"1";"2";"";"";"";"";"";"Giuseppe Dell'Agata";"http://unimap.unipi.it/cercapersone/dettaglio.php?ri=3869";"9788866330448";"";"Iliana Krapova, Francesca Fornari, Alessandro Scarsella";"";"1989-2009 La caduta del muro: venti anni dopo Atti del Convegno Internazionale di Studi. Venezia 17-18 dicembre 2009";"ArchetipoLibri CLUEB";"";"2011";"Brossura";"154";"Italiano";19.00;"obb";"parz.";"tutti";245;86
"unipi";2020;"LINGUISTICA E TRADUZIONE";"LM";"LM-39";"TRADUTTIVO";"FILOLOGIA SLAVA (MUTUATO)";"L-LIN/21";"6";"2";"2";"";"";"";"";"";"Giuseppe Dell'Agata";"http://unimap.unipi.it/cercapersone/dettaglio.php?ri=3869";"9788866330448";"";"Iliana Krapova, Francesca Fornari, Alessandro Scarsella";"";"1989-2009 La caduta del muro: venti anni dopo Atti del Convegno Internazionale di Studi. Venezia 17-18 dicembre 2009";"ArchetipoLibri CLUEB";"";"2011";"Brossura";"154";"Italiano";19.00;"obb";"parz.";"tutti";245;86
"unipd";2020;"LINGUE, LETTERATURE E MEDIAZIONE CULTURALE";"L";"L-11, L-12";"PERCORSO COMUNE";"LINGUA SPAGNOLA 1";"L-LIN/07";"9";"1";"2";"";"";"";"";"";"Jose' Perez Navarro";"https://didattica.unipd.it/off/docente/CDFD66C1B60737DC6F4FAE663896E189";"9788849126938";"Juan C. Barbero Bernal, Félix San Vicente";"";"";"Actual. Gramatica para comunicar en español";"Clueb";"";"2006";"Brossura";"528";"Italiano";39.00;"obb";"tutto";"tutti";1053;296
"unibo";2020;"EDUCATORE SOCIALE E CULTURALE";"L";"L-19";"VALIDO PER GLI IMMATRICOLATI 2019/'20, 2018/'19, 2017/'18 E 2016/'17";"STORIA DELL'EDUCAZIONE";"M-PED/02";"8";"1";"";"";"";"";"";"";"Mirella D'Ascenzo";"https://www.unibo.it/sitoweb/mirella.dascenzo";"9788849135282";"Mirella D'Ascenzo";"";"";"Alberto Calderara. Microstoria di una professione docente tra Otto e Novecento";"Clueb";"";"2011";"";"195";"Italiano";18.00;"cons";"tutto";"tutti";1283;332
"unibo";2020;"EDUCATORE SOCIALE E CULTURALE";"L";"L-19";"VALIDO PER GLI IMMATRICOLATI 2020/'21";"STORIA DELL'EDUCAZIONE";"M-PED/02";"8";"1";"";"";"";"";"";"";"Mirella D'Ascenzo";"https://www.unibo.it/sitoweb/mirella.dascenzo";"9788849135282";"Mirella D'Ascenzo";"";"";"Alberto Calderara. Microstoria di una professione docente tra Otto e Novecento";"Clueb";"";"2011";"";"195";"Italiano";18.00;"cons";"tutto";"tutti";1283;332
"unibo";2020;"SCIENZE DELLA FORMAZIONE PRIMARIA";"LMCU";"LM-85BIS";"PIANO DIDATTICO PER STUDENTI IMMATRICOLATI NELL'A.A. 2019-20, 2018-19, 2017-18 E 2016-17";"STORIA DELLA SCUOLA";"M-PED/02";"8";"4";"";"";"";"";"";"";"Mirella D'Ascenzo";"https://www.unibo.it/sitoweb/mirella.dascenzo";"9788849135282";"Mirella D'Ascenzo";"";"";"Alberto Calderara. Microstoria di una professione docente tra Otto e Novecento";"Clueb";"";"2011";"";"195";"Italiano";18.00;"obb";"tutto";"freq";1512;222
"unibo";2020;"FARMACIA";"LMCU";"LM-13";"PIANO DIDATTICO PER STUDENTI IMMATRICOLATI NELL'A.A. 2015/16 E ANNI PRECEDENTI";"TOSSICOLOGIA";"BIO/14";"10";"5";"1";"";"";"";"";"";"Carmela Fimognari";"https://www.unibo.it/sitoweb/carmela.fimognari";"9788849124453";"";"M. Cocchi, A. L. Mordenti";"";"Alimenti e salute. I nutrienti strategici";"Clueb";"";"2005";"Brossura";"718";"Italiano";47.00;"obb";"tutto";"tutti";947;139
"unibo";2020;"FARMACIA";"LMCU";"LM-13";"PIANO DIDATTICO PER STUDENTI IMMATRICOLATI NELL'A.A. 2016/17 E PRECEDENTI";"TOSSICOLOGIA";"BIO/14";"10";"5";"1";"";"";"";"";"";"Carmela Fimognari";"https://www.unibo.it/sitoweb/carmela.fimognari";"9788849124453";"";"M. Cocchi, A. L. Mordenti";"";"Alimenti e salute. I nutrienti strategici";"Clueb";"";"2005";"Brossura";"718";"Italiano";47.00;"obb";"tutto";"tutti";947;139
