_id,Numero Classe,Tipo_Laurea,Denominazione Classe,Ordinamento Classe,ISCED_F_1dgt,ISCED_F_2dgt,ISCED_F_3dgt,Nome Gruppo Disciplinare,Macro Area Disciplinare,Area Disciplinare
1,LM-93,Laurea Magistrale - dm 270/04,Teorie e metodologie dell'e-learning e della media education,D.M. 270/04,1,11,111,Insegnamento                                                                                                                                                                                                                                              ,Umanistica,"Artistica, Letteraria e Insegnamento"
2,L-19,Laurea - dm 270/04,Scienze dell'educazione e della formazione,D.M. 270/04,1,11,111,Insegnamento                                                                                                                                                                                                                                              ,Umanistica,"Artistica, Letteraria e Insegnamento"
3,18,Laurea  - dm 509/99,Scienze dell'educazione e della formazione,D.M. 509/99,1,11,111,Insegnamento                                                                                                                                                                                                                                              ,Umanistica,"Artistica, Letteraria e Insegnamento"
4,LM-50,Laurea Magistrale - dm 270/04,Programmazione e gestione dei servizi educativi,D.M. 270/04,1,11,111,Insegnamento                                                                                                                                                                                                                                              ,Umanistica,"Artistica, Letteraria e Insegnamento"
5,LM-57,Laurea Magistrale - dm 270/04,Scienze dell'educazione degli adulti e della formazione continua,D.M. 270/04,1,11,111,Insegnamento                                                                                                                                                                                                                                              ,Umanistica,"Artistica, Letteraria e Insegnamento"
6,LM-85,Laurea Magistrale - dm 270/04,Scienze pedagogiche,D.M. 270/04,1,11,111,Insegnamento                                                                                                                                                                                                                                              ,Umanistica,"Artistica, Letteraria e Insegnamento"
7,87/S,Laurea Specialistica - dm 509/99,Specialistiche in scienze pedagogiche,D.M. 509/99,1,11,111,Insegnamento                                                                                                                                                                                                                                              ,Umanistica,"Artistica, Letteraria e Insegnamento"
8,LM-85BIS,Laurea Magistrale a Ciclo Unico - dm 270/04,Scienze della formazione primaria,D.M. 270/04,1,11,111,Insegnamento                                                                                                                                                                                                                                              ,Umanistica,"Artistica, Letteraria e Insegnamento"
9,65/S,Laurea Specialistica - dm 509/99,Specialistiche in scienze dell'educazione degli adulti e della formazione continua,D.M. 509/99,1,11,111,Insegnamento                                                                                                                                                                                                                                              ,Umanistica,"Artistica, Letteraria e Insegnamento"
10,LM-85BIS,Laurea Magistrale a Ciclo Unico - dm 270/04,Scienze della formazione primaria,D.M. 270/04,1,11,111,Insegnamento                                                                                                                                                                                                                                              ,Umanistica,"Artistica, Letteraria e Insegnamento"
11,56/S,Laurea Specialistica - dm 509/99,Specialistiche in programmazione e gestione dei servizi educativi e formativi,D.M. 509/99,1,11,111,Insegnamento                                                                                                                                                                                                                                              ,Umanistica,"Artistica, Letteraria e Insegnamento"
12,LM-85BIS,Laurea Magistrale a Ciclo Unico - dm 270/04,Scienze della formazione primaria,D.M. 270/04,1,11,111,Insegnamento                                                                                                                                                                                                                                              ,Umanistica,"Artistica, Letteraria e Insegnamento"
13,18-bis,Corsi di Laurea - vecchio ordinamento,Scienze della Formazione Primaria - Quadriennale,pre-D.M. 509/99,1,11,111,Insegnamento                                                                                                                                                                                                                                              ,Umanistica,"Artistica, Letteraria e Insegnamento"
14,LM-85BIS,Laurea Magistrale a Ciclo Unico - dm 270/04,Scienze della  formazione primaria,D.M. 270/04,1,11,111,Insegnamento                                                                                                                                                                                                                                              ,Umanistica,"Artistica, Letteraria e Insegnamento"
15,LM-85BIS,Laurea Magistrale a Ciclo Unico - dm 270/04,Scienze  della formazione primaria,D.M. 270/04,1,11,111,Insegnamento                                                                                                                                                                                                                                              ,Umanistica,"Artistica, Letteraria e Insegnamento"
16,LM-65,Laurea Magistrale - dm 270/04,Scienze dello spettacolo e produzione multimediale,D.M. 270/04,2,21,211,Arte e Design                                                                                                                                                                                                                                             ,Umanistica,"Artistica, Letteraria e Insegnamento"
17,73/S,Laurea Specialistica - dm 509/99,Specialistiche in scienze dello spettacolo e della produzione multimediale,D.M. 509/99,2,21,211,Arte e Design                                                                                                                                                                                                                                             ,Umanistica,"Artistica, Letteraria e Insegnamento"
18,42,Laurea  - dm 509/99,Disegno industriale,D.M. 509/99,2,21,212,Arte e Design                                                                                                                                                                                                                                             ,Umanistica,"Artistica, Letteraria e Insegnamento"
19,L-04,Laurea - dm 270/04,Disegno industriale,D.M. 270/04,2,21,212,Arte e Design                                                                                                                                                                                                                                             ,Umanistica,"Artistica, Letteraria e Insegnamento"
